real_tweet,new_label
jujur ya  pertanyaanmu nggak berpengaruh apapun dan malah bikin pusing tauuu,1
 eneg banget nggak sih guys kalau ditanyain tentang skripsi terus  kayak sudah sempro  kapan sempronya  progressnya sudah sampai mana   kayak yaudah gitu buat apa nanya nya  mau bantuin  enggak kan  jadi mending fokus punyamu sendiri aja deh  kalau alasannya peduli   cont ,0
 need joki tugas yg trusted  amanah  fastwork  amp  fastrespon  urgent ya  pricelist drop bawah boleh,1
 guys  kepanitiaan tuh masuk ke organisational experience bukan sih ,1
 mau nangis  aku udh ngebubble chat    dari semalem di gc kelompok  tp sampe sekarang belum ada balesan pdhl udh di read  ,0
 kadang dosbing itu kalo kitanya udah siap revisian  tp beliaunya susah ditemuin ya    sedih,0
 ada yg mau connect linkedin  nanti aku dm,2
 klo ada matkul yg ngulang tuh brrti semesternya nambah dong ,0
 aku ngambil kutipan maharani        dari jurnalnya eka widiyati  putri cantika  dan jojo suripto        halaman     nulis di dapusnya gimana ya  makasih    maaf aku baru belajar  mohon bantuannya  ,1
ini      dari mana yaaa    ,2
 kalian ada yang punya teks orasi gak  huhuu buat tugass,1
 aku smt   dan tinggal nyusun skripzi  saran dongg ikut kegiatan apa biar ga terlalu gabut atau kerjaann dom bdg,1
urgentt     kak boleh minta tolong   ada yang pernah laptopnya terkena disko gini ndak           ,1
 guys  kalo ucapan terimakasih buat ortu sama temen  itu masuknya ke halaman persembahan atau kata pengantar ya  atau boleh dua nya ,0
 kakak kakak yang udah skripsian  gimana sih cara nentuin tema skripsi  lagi buntu banget    ,0
 guys help  ada yg tau nggak caranya ngilangin kalimat yang keinput ke daftar isi  padahal itu awalan kalimat  bukan judul sub bab   ,0
 gais mau nanya yg pernah ikut be u em en batch   ada ga kalian yg ga ikut uji coba trial nya tapi masih bisa ujian ,0
 boleh minta ucapan semangat mention nama  dari temen  semua  hehe makasi sebelumnya  ,0
 ada anak pendidikan semester akhir nggak  mau tanya masalah skripsi terlebih lagi kurikulum merdeka   ,0
aku mau bikin rpp sd  trs kata dosen ku boleh bikin rpp yg satu matpel  ga harus tematik  nah kalo aku ttp mengacu ke buku tematik yg ada matpelnya buat nyari gambaran   materinya gapapa kak  ,0
s  atau ppg  kalian pilih mana dan alasannya knpa pilih itu ,1
 gais aku baru pertama kali bimbingan hari ini setelah melewati   semester  aku harus ngapain aja pas ketemu dospem  deg an bangettt aaaa,0
 hari ini sender uas matkul tersusahh minta doanya supaya sender bisa jawab semua soalnya have a nice day yall,1
 lah kalian dibayar        kok bisa       ,1
 capek bgt liat kelompok kkn ku  pas bahas baju gercep pada nongol semua  pas diajak bahas proposal malah menghilang   ,0
 temen  mau nanya  acc penguji sehabis semhas itu ribet enggak   lngsung di ttd apa masih revisi lagi revisi lagi   ,0
 ada yg pernah beli charger laptop di asus service center ngga  kisaran harganya berapa ya ,1
 guys hari ini sender sempro  mohon doanya ya teman  college      ,0
   friendly reminder   kalo ini lewat di tl kalian  sesibuk apapun urusan perkuliahan  this is a sign for you  khususnya anak rantau  amp  kos  buat bersihin rice cooker kalian     ,1
 guys yang smt   ini kalian liburan mau cari magang kaaah   aku kek org gatau apa apa gini hikss,0
 parttime jaga toko itu berguna ga sih as pengalaman pas lamar magang kerja  soalnya karna sender parttime jaga toko jadi gabisa ikut ukm  mau ikut seminar  onlen gtu tapi belum mulai sih masih nyari  media  yg share tentang kegiatan kaya gtu,1
biaya ppg mandiri biasanya kisaran berapa ,1
 hari ini sender uas terakhir  tapi liburannya dipake buat mikirin judul skripsi  antara seneng dan sedih  ,0
 jadi kan nanti aku mau pulang sekitar   mingguan abis itu balik kos lagi  kalo laptopnya aku simpen kos  baiknya ditaro mana ya ,0
 guys minta bantuan buat like dan komen di vidio nanti sender kirim link youtube di komen atau dm  terima kasih    ,2
 saran kursus bahasa inggris online yg bagus dong  sama kalo boleh minta testimoni dan range harganya   makasihh guys,0
 data skripsi klo dipalsuin dikit aman ngga  kalian pernah ngga  huhu udah mepet bgt dan susah nyari responden,0
 there is a new oriental restaurant in town  isn t it      ini yg salah yg mana ya dari pernyataan tersebut ,1
 nyari paten us tu dimana sih gais ,0
  aku barusan ngechat dosen buat nanya bimbingan  jam segini emang terlalu pagi ya buat ngechat dosen  soalnya aku mikirnya hari jumat kan biasanya harinya pendek jadi aku chat pagi tadi jam  setengah  ,0
 adakah yang paham soal asesmen diagnostik di kurmer ,1
konsultasi mengenai masalah tersebut  ,1
 guys mau tanya dong  pilihan bahasanya lebih sopan yang mana ya  konteksnya buat chat responden  dan beliau guru   kiranya kapan saya bisa bertemu bapak untuk berkonsultasi mengenai masalah tersebut    kira kira kapan bapak ada waktu dan berkenan ditemui untuk  cont ,0
 ada yg bisa download buku di scribd ,0
 hai  ada mahasiswa dari universitas sumatera utara ngga  ada yg berkenan dimintai tolong untuk download in sender file di repository nya   terimakasih sebelumnya  semoga harimu menyenangkan,2
colle mending pindah apa ga  tia  ,0
dapur umum  kulkas mini bersama nah mau pindah ke kos yg lebih murah harganya     fasilitasnya km luar  dapur bersama  lemari  kasur  wifi  kalo mau make kulkas harus dititipin ke rumah pemiliknya     menit ke kampus  jauh dari kota  akses makan rada susah  kata warga  cont ,1
 butuh saran  p s sender ada motor di kos dan putri ya  jd sekarang aku ngekos di deket ke kampus  deket kota  akses nyari makan banyak bisa jalan kaki buat semua itu cuma aku mau pindah krn di kosku skrg harganya     lengkap sih km dlm  wifi  kasur  lemari  meja   cont ,1
 sbg mhs rantau  culture shock apa yang pernah kalian alamin ketika berada ketemu org yg berbeda suku dan budaya  misal dr perilaku  cara komunikasi  sm pandangan pola pikir,1
diluar itu ga aku peduliin ,1
 please no salty wajar ga sih aku sedang skripsi  terus aku bener   bener difase ga mau komunikasi sama siapapun selain keluarga sama teman angkatan yang senasib  sama   sama lagi skripsian  itu pun sama teman angkatan bahasannya hanya seputar skripsi  yang bahas  cont ,0
 ada yg pernah ngedit pake c nva di hp ga ,0
 sender butuh seseorang yg bisa kasih saran agar judul mini riset sender tidak salah jalan yang berujung boomerang   ,0
 cara unlock dokumen di coursehero yg gartis gimana yaa ,1
 ada ga sih website atau aplikasi tulis tangan otomatis ,0
 hari ini ada kuis tapi kepala sakit banget gak kuat bangun  mual mual juga huhu  it s okey kan ya ga kuis sekali  takut malah kenapa  di kampus  ,1
 mahasiswa yg kos deket kampus jam   ada kelas jam      br mandi brgkt jam       siapa  saya ,0
 ges aku kan lagi uas  dan reference data statistik gitu hampir susah   kalo aku buat kuisioner apa possible dimasukin ke paper uas ,0
 di kampus kalian boleh ga waktu sidang skripsi pake hijab kek gini  sender rencana mau pake pasmina hitam gitu  tapi kayaknya kurang formal ya klo gaya hijabnya begini   cr  pint  ,0
 guys  ada yang tau gak sub indikator dari harga itu apa aja  sender stuck disini  karena belum punya bukunya   ,0
guys kl motor ditinggalin agak berminggu minggu gpp kah  rencananya mau diservis dulu    libur kuliah mau taruh di kos aja soalnya bingung dititip siapa     ada tips gakkk ,1
 boleh minta saran untuk belajar buat test tofl dari yang basic dulu ,1
 ada yg pernah daftar beasiswa bintang mandiri  itu ngapain aja ya pembinaannya ,1
 ada yg bersedia ngisi kuisioner ku ga  syarat nya cuma mahasiswa i aktif yg pernah atau lagi kuliah sambil kerja full part time  nanti aku dm  tia,2
    manajemen pendidikan  menurut kalian kalo bikin mini riset dengan judul tersebut  related atau ngga  dari kemarin sender keliru judul  mana ini tugas uas perkelompokkk  ,0
 belajar dari soal soal kating semester lalu buat ujian termasuk cheating gak menurut kalian  kondisinya soal ujian sama persis sama semester sebelumnya  sender mau tau honest opinion kalian,0
 kalian prefer jadi pengurus ukm apa hima dan apa alasannya  sender bingung antara   pilihan itu  ,1
 guysss i did it     setelah   hari   malam ngebut nyelesaiin revisian akhirnya bisa daftar juga  seneng terharu tapi agak takut juga buat sempro  do ain aku ya semoga dapat dosen penguji yang baik dan bisa jawab pertanyaan dengan tepat  semangat buat teman  seperjuangan    ,1
 kalau ke kampus bawa laptop terus dimasukin backpack nya langsung aman ga  ada yang pernah kayak gitu kah  terus juga aku bawa motor,0
 reply dong buat referensi sender   ,2
 hallo mau tanya  pas ngidupin laptop suka muncul ini  mending ini hapus aja atau jangan yah  btw ini smadavnya ori atau ngga  tia  ,0
guys  landasan teori utk provozal itu kalau bhs inggris atau lainnya harus ada terjemahan dari ceritified translator baru boleh masukin ke provozal kita  ya  tp kata kating  pusat bhs di kampusku lama bgt prosesnya    ,1
 dosen dan staf kampus biasanya libur natal dan tahun baru dari tanggal berapa ya  dan berapa lama ,0
 halo warga unair boleh minta tolong untuk download file di repository  terima kasih   ,2
 guys  ini website ms b belum bisa dibuka kah posisi magangnya     ,0
 guys aku mau tanya  soal judul skripsi ku udah tepat atau blm  ada yg bersedia aku dm nggak buat koreksi judul ku  makasih ya yg udah jawab,2
 mau tanya dong  sender dulu lulusan smk klo melampirkan pengalaman pklan apa bisa ya dicantumkan di cv,1
  guyss  charge laptop aku rusak  padahal buat skripsi  kalau beli tuh mending di service center atau dkmana ya ,1
 sender   matkul lagi uas  kalian sisa berapa ,0
sendiri  skrg aku ngerti kalo waktu itu berharga bgttt  ayoo gaisss cepet selesaiin tugas  uas kalian biar bisa cepet liburan  aku duluann  happy holiday  ,1
 mau cerita  aku bangga bgt sama diri sendiri hwhwhwhw  aku yang biasanya deadliner  skrg udah nyelesaiin semua tugas uas yang mostly penugasan dan bisa pulang lebih cepet drpd temen  seprodiku  krn gaperlu ngumpul tugas ke kampus lg   aaaa rasanya bangga bgt sama diri  cont   ,1
 masukin definisi para ahli di paper uas yay nay ,1
bahasa lain memperjelas ulang tuh apa ya  yang formal   intinya  aku kek nyuruh dosen ini memperdetail gitu biar lebih jelas  lewat wa   soalnya chat dari ibunya tuh bahasanya rada ambigu  takut salah nangkep aku  hehe ,0
 gais aku hari ini pendadarann  doain yaa semogaaa lancar degdegan parah  tolong kasih doa yang ampuh biar aku bisa slow tenang tidak dihajar dosen  makasii guys  ,1
 membercheck di penelitian kualitatif ditaruh di mana ya ,1
 halo ada yang bersedia bantu likes buat tugas  terima kasih sebelumnya  ,2
liat pencarianku pagi ini  hari ini dirumah sendiri mau ngerjain skripsweet sambil dengerin lagu dari tv biar suaranya gede tapi tvs nya tabung dan gada icon menunya gatau ngesett nya gimana    ,1
 kalo mau translate dokumen  lebih akurat mana ya  di google doc apa di ms word ,1
jadi aku ada tugas presentasi  tatapi cuma disuruh share ppt   ibunya bilang daring untuk hari ini  mneurut kalian  mksd kalimat ini gmn ya   sesi tanya jawab dan penjelasan  akan dilaksanakan pada pertemuan minggu depan  jadi aku ga presentasi  atau tetep ya  daring  wkwk ,1
 mending inhal prak ikut kelas lain minggu depan atau gas masuk prak hari ini ya  posisinya sender lg diare mendadak abis makan ikan teri kacang pedes  ,1
   harian gua kmrin nanya ada posisi buat magang di   perusahaan dan dibilang nnti dikabarin abis tanya manajemen  kira  mending follow up ga ya ,0
 guys aku rencana mau kursus b ingg di pare  kalo disambi kuliah online   bulan bisa gak ya    ,1
 aku bisa bertahan gk ya       aku semester       skrg udh di tahap skripsi  tp org tua aku kacau lagi  aku stress lagi  mau nyerah    ,0
 awali pagimu dengan senyum indah syntax  ,1
 haloo ada yg berkenan isi kuesioner atau barter isi kuesioner  masih kurang     responden lagi    kriteria nya hanya menggunakan tiktok ajaa  nanti aku reply atau dm linknya    terimakasih banyakk   sehat dan panjang umur selalu  ,2
 hari ini uas terakhir sender yeyyy    ,0
 pernah gak merasakan dibuang oleh temen sendiri  aku lagi ngerasain  karena dia udah lulus kuliah sedangkan aku masih skripsi dan maybe aku udah gak penting atau bermanfaat di hidup dia  jadi dibuang gitu aja   ,0
 cara belajar toefl buat pemula gimana ya ada yg punya ebook latihan soal nya gak  kalau ada boleh dishare   ,0
 guys ini bacaanya apa ya dan gimana maksudnya  makasihh banyak  ,0
tidur dulu tugasnya blm turun  masa aku disuruh ngurus sendirian  nyumbang duit kagak  boleh kan ya aku pura pura bangun telat  biar mereka tuh mikir dan kalang kabut sendiri buat nurunin file yg satunya  dongkol banget aku   mana klo aku gk ngatur gaada yg inisiatif  dahlah ,1
 aku semalem baru tidur jam setengah   malem buat nungguin dan nyari cara turnitin tugas kelompokku bisa turun maks     yg kemarin blm tidur aku doang  yg lain aku chat ke grup gaada yg nyahut  sumpah aku dongkol sedongkol dongkolnya  padahal aku udh bilang jangan  cont ,0
temen temen  cari info kosan selain via mam kos  tanya kating  udh tapi minim info  dari mana ya  trus harga standar kost ac di sekitar ui yg worth rerata brp duit  ,1
 dasar pendirian pt kan ad art  kalo dasar pendirian pemda ala ya ,1
 sedihh banget catetan sender dirobek anabul        sender salah karna lupa taro catetan di atas meja tapi dia biasanya anteng aja ga ngereog     ,1
kamar kost impian nih guys  langsung kena simat  jadi gak lembab  udara seger masuk terus  tinggal kasih tanaman nanti  kalo pagi bisa liat pemandangan gunung lawu   ,1
 selamat pagiii  mau nanya nih ada yg pernah jd mc acara seminar  pembukaan nya gimana ya  atau ada akun apa aja yg share tips jd mc  makasiii,0
 punten disini ada yg lanjut s  pendidikan matematika nggak yaa  kalo boleh tau di univ mana  tia yg udah jawab ,0
 ada yang buka joki ppt gak ya  urgent,1
 guys ini maksudnya apa ya  makasiii  ,0
berdomisili di pulau jawa,1
  bantu isi atau barter kuesioner yuk    link aku taro di reply or dm ya   kriteria responden a    responden berusia       tahun  b   pengguna transportasi online  baik yang sudah pernah menggunakan atau yang belum berniat menggunakan transportasi online  c     cont   ,2
 sementara ngerjain skripsi laptopku langsung black screen    tadi emang ada pemberitahuan kalau gak bisa lanjut ngetik karena filenya kebesaran pdhl bru    halaman         mending aku save di data d e aja gak   ,0
 sender bangun   jam lebih awal dari jam sidang buat belajar  doain semoga sidang skripsiku lancar     ,0
 ada yg ngerti masalah file folder perlaptopan gaaa  aku mau mindahin data dari onedrive ke local gagal mulu huhu makasih  ,1
 gaiss kalo kyk gini tu gmn ya  di jurnal umumnya udh input semua kok transaksinya  ,0
 semenjak kuliah  mentalku gonjang ganjing   ,1
 guys saranin koper buat pulang kampung dong  aku beres uas nih ,1
kumisnya kek lele   arghhhh marah ,1
 punya kelompok anak organisasi yg super sibuk bikin ngebatin  di luar dia aktif banget  tp kalau disuruh kelompokan alasannya  maaf ya  aku lg ada urusan   loh dia kira yg punya urusan cuma dia  kek pgn bgt ngomong di depan matanya  maju sini  mending lu jadi naga yg  cont   ,0
 jawaban yang tepat ketika ditanya  cara menjawab rumusan masalah yang ada di proposal skripsi  gimana ya   biar ada referensi lebih soalnya abis magrib nanti sender sempro    ,0
 ada yg paham myob   mau tanya  ttg output reportnya gitu huhu  tia,0
 disini ada yg ngolah data pake pls ga  kalian paling cepet ngerjainnya berapa lama  dg data sekitar    ,0
 ada yang pernah punya pengalaman ikutan msib ngga  boleh bagi pengalaman nya  makasi ,0
 halo mau tanya  kalo penelitian kuanti tuh harus izin juga ga sih sama objek penelitiannya  thank you,0
 guys kalian dihalaman persembahan terima kasih skripsi  ngucapin terima kasih ke siapa aja  ada yang ngucapin ke idola gak wkwkwk pengen liat,0
 selamat pagi bagi saudara i ku sekalian  bagi yang muslim jangan lupa membaca al kahfi pada jum at ini yaa     ,1
 ada yg paham ngga ini gimana  di ju nya udah lengkap semua kok     ,0
masa sekarang  memperbaiki apa apa yang salah  menyempurnakan apa apa yang kurang  bukankah salah dan gagal adalah hal yang wajar   ,1
 masih di sini  merasakan hembusan nafas yang rasanya tak pernah sedalam ini  meresapi tetes demi tetes tangis yang belakangan lebih sering menemani  mengingat kembali alasan demi alasan mengapa dulu amat sangat terobsesi dengan logo satu ini  lalu saatnya kembali ke  cont   ,1
 gaes mohon doanya  hari ini aku ujian tutup   btw spill doa yang kalian baca dong waktu ujian dulu supaya nggak dibantai sama dosen   ,0
 menurut kalian  perlu waktu berapa lama buat ngerjain skripsi bab      kuanti ya,0
 kesel banget kuliah siang asli lemes kalo pulang pusing berat kepala   ,0
 temen  mau tanya besok aku kan sempro biasanya ngasih makanan buat dosen penguji itu kayak gmna ya  klo kue an sama aq   gpp kan  klo klian kmren kasih apa buat penguji ,0
pov  saya masuk fak  pertanian   ,1
 saranin lagu  yang cocok buat sambil garap skripsi dong    maksud sender yang relate bisa bikin motivasi garap skripsinya makin naik   need bgt   sender lg gk ada mood  selain pake lagu  garap skripsinya   udh terbiasa ngerjain tugas pake lagu   makasih  ,0
 tebak jurusan gue dong gaiz  ,1
sidang  aamiin     berdo a aja dulu barangkali do anya bisa di acc oleh nya ,1
penutupan munaqosah makin deket  tapi skripsi tak kunjung selesai  padahal tinggal bab   aja  masak harus bayar ukt full tahun depan hanya untuk sidang   ya allah semoga hamba mu ini segera diberikan kemudahan  dan dijauhkan dari kesulitan  hamba hanya ingin tahun ini bisa  cont ,1
 sedikit curhat  jadi sender udah dikejar deadline pendaftaran munaqosah  tapi di satu sisi  sender selalu dipersulit dengan dosbing  mulai dari dosbing susah dihubungi  sekalinya respon malah susah di temuin  eh giliran bisa ketemu malah di suruh revisi   mana  cont ,1
 guys  kalo tabel yg isi datanya kepanjangan ke samping itu gimana ya cara ngakalinnya  ada ide ga  jd aku perlu    kolom kesamping  kalo dipaksa semuanya kesamping jadinya bakalan keliatan kesempitan isi angka ditabelnya wkwk   ,0
 guys kalian yang masih bangun  sender mau nanya  ada yang ngerti kah maksudnya apa     sender dari kemaren memahami tapi gak paham  hiks    ,0
 untuk kamu mahasiswa smt    yg libur natal dan tahun baru masih sibuk tugas dan uas  udahh liburan aja gais  sender ini soalnya juga lagi mabok tugas   tapi tetap haha hihi,0
ada yang punya adek atau temen cewek usia    tahun dan tinggal di surabaya ga ya  sender lagi butuh informan untuk s word nanti sender dm kalian ya  makasih warga colle ,2
 ges klean yg skripsian kalo libur semester tuh libur ga sih  ato yg penelitian bisa nge lab gitu  kampus tu ikut tutup ga sih libur semester wkwk,0
 ada yg bisa bantu aku jelasin interpretasi uji simultan ga  hasilnya berpengaruh tapi aku bingung kaitin x  x  sm y nya  uji parsialnya x  pengaruh negatif  x  pengaruh positif  makasii,1
 guys kalian yg dah kuliah ada rencana mau ikut tes lagi ga taun depan buat ganti jurusan  mending di jurusan yg kita pengen tapi di univ yg ga top atau di univ top   jurusan fav tapi bukan jurusan yg kita pengenin ,0
hapus  yg tau pls reply  ,2
cobaan mahasiswa yg lgi skripsian emang bnr  dahsyat ya dari segi ekonomi  dosbing  pertemanan  keluarga  dan percintaan bnr  di uji semua  masalah numpuk jadi satu  buat kalian yg lagi di fase ini tetap semangat ya ,1
 guys  aku mau nanya dong  di data bps data angka pdrb adhk menurut lapangan usaha kan ada keterangan  juta rupiah   nah angka terakhir yang dibelakang titik itu apakah boleh kalo aku input ganti dengan angka          supaya keterangan  juta rupiah nya bisa aku  cont   ,1
 sebenernya udah bikin rencana buat ngerjain jauh jauh hari   tp ya gtu kenyataannya ga sesuai yg direncanain    ,0
 tunjukin catetan kalian yang tultang yukk  suka liatnyaa wkwk  ,1
 semester   tapi jiwanya tertinggal di sma  ,1
 analisis lirik lagu bisa masuk ke studi kasus gak   konteksnya ini pendekatan kualitatif semiotika guysss  tia    ,1
 mau curhat  jadi sender sekarang lg buka usaha sm temen temen sender di kampus    rasanya seneng bisa nyoba hal baru  doain yaa smoga bisnis kita lancarrr    smoga doa yang baik kembali ke pemiliknya  lt  ,0
 maaf numpang curhat guys  rasanya hopeless bgtt   ,1
tiba  overthinking  bisa ga ya mahasiswa dari non top    univ masuk ke sini    ,1
 sapa yang makin akhir makin meredup semangatnya  aku aku aku ,1
 ada anak uin gak yh  kalian kalau kompre dan di mintai hapalan hadits cuma artinya saja atau bahasa arab nya juga ,1
 tolong bagi template chat ke dospem buat minta masukan revisi usulan pkl dong  makasi,0
 halo temen  mahasiswa  ada yg blm tidur  maaf mau tanya responden penelitian itu harus bulat    atau bisa    yaaa huhu  gmn ngakalinnya kalo harus    sdangkan aku dapet    huhu  makasi yg sudah bersedia jawab  ,0
 yg masih bangun bantuin dong guys   ukuran poster   x   di hp tu ukuran a  a  a  yah guys    ,0
enaknya diapain ya yang kaya gini saran dong guys biar mereka pada kapok  capek soalnya   ,0
 kok bisa orang orang tidur tenang padahal tugas kelompok belum kelar dan udah ngelebihin deadline ya guys   udah koar koar di grup juga gaada yang respon  sekali respon bilangnya  kurang bagian yang ini  aku gabisa itu   alhasil aku yang ngerjain sendiri sekarang   cont ,0
 alhamdulillah aku udah bisa kirim menfess,1
 mau cerita  aku fg lulusan thn ini  dulu pernah disaranin untuk ambil jurusan a  tpi aku malah ambil jurusan b  dan ternyata skrg yg banyak dibutuhin jurusan b  hehe menyesal tpi dah lulus  gmn ya cara ngatasin ini ,0
guys cv tuh boleh   halaman ga ya  atau harus   halaman  ,0
 kalian kelasnya dipilih berdasarkan apa ,0
 hari ini sender ultah tapi malah kebantai sama ujian sampe sore  total ada   matkul hiksddd   wml wml moga lancar huhu,1
 punten guys  disini ada yg asal dari cilacap  mau tanya  ttg kosan di deket rsud cilacap nih  soalnya aku mau pkl di situ  makasih sebelumnyaa,1
 biar jaraknya rapi pas dijustify gimana ya ges  tolong ingponya    tia  ,0
 when you try your best but you don t succeed    sender lagi sedih  kecewa  marah sama semuanya  tapi bingung ga ada yang bisa diajakin cerita  bingung mau kemana  liburan juga ga pulang ke rumah  dan di sinilah aku sekarang  malem malem ke kampus  nangis sendirian hehe  ,1
 connect linkedin yukk  terutama yg anak feb atau yg tertarik sama data analystt aku mau bgttt connect sm kalian,1
yahhh kesel bgt yaampun lupa jurnal nya blm keprint skrng mau nyari susah bgt     di webnya dilock  ,1
 guys ada anak unand yang bisa dimintain tolong buat download jurnal  terima kasih sebelumnya,2
 puyeng bgt nyari judul skripsi  wktu dpt tp ngerasa kek pasaran bgt judulnya  bingung lagi deh ni variabel dari dosen mesti dikaitkan dengan apaan   ,0
  kalian lagi apa    aku lagi buat artikel buat tugas akhir uas    ,0
 tolong bantu sender  plis jawab yaa teman teman yang baik    oiya ini aku gantiin  maksudnya aku beli aja gapapa  ,2
 klaean ada meme yg matiin data pas liburan gasiii  sender dah selese uas jd mau off wa nii hehe kl ada drop dong  kalean yg masi uas semangat ygy,1
 menurut kalian keputusan elon phk karyawannya itu langkah yang bener apa engga  kenapa ,1
 permisi ada yang kuliah di universitas esa unggul gak ya kalo ada plisee banget aku butuh bantuannya     terima kasih sebelumnya,2
 halo ada yg tau web atau app untuk ngebuat abstrak ga ya  makasii yg udah rep,0
minta tutor nyatuin tabel yang terpisah halaman dungsss thankyouuu ,1
 kalau ini mau dijadikan refrensi apa style yang benar gimana ya penulisannya   ,1
 bingung bgt nyari judul krn gapunya minat apaapa,0
 ini ovt bikin gua takut ngerjain skripsi  udah   minggu belum kesentuh karena takut  ,0
 kalian yg publish jurnal ada fee nya juga  kalo udah ditahap copy editing dan udah bayar  udah pasti publish di website tsb dan ada revisi juga ga  tia,0
 maaf yh kak klo pertanyaannya agak bodoh   tp kalo misal dosen nyuruh buat makalah dgn tema a  nah isi makalahnya tu seperti pengertian  jenis  dll dari a atau si a kita hubungkan dengan sesuatu  tia,0
gimanapun juga ga berhasil  apalagi ldr jadi ga bisa nyemangatin langsung,1
 kadang ngerasa cape punya bf pinter di perkuliahan tapi dia terlalu suka rendah diri  ga pedean dll  dia dapet lomba masuk final tapi dia selalu bilang kalo dia kontribusinya dikit  dll  kalo apa apa lebih banyak insecurenya  kadang cape mau nyemangatin kayak  cont ,1
 siapa yg udh cape dengan perkuliahan ini      ,0
 sender punya temen yang cerita dia gak ngerti sama apa yang diajarin dosen  terus sender ajak belajar bareng aja kalau mau buat persiapan ujian  eh dia malah jawab males   sender pun bingung,0
 ada yang lagi s  di maroko atau tunisia atau yordania yg jalur beasiswa mandiri alias non pemerintah jurusan ilmu keislaman ga ya  kalo ada  berkenan utk aku dm dan ditanya  ga ya  kalo berkenan  reply ya  thanks ,1
 guys cara biar dapet link full bab   sampe  nya gimana ya    ,0
 sender abis nururin plagiasi dari     terus pede cek turnitin lagi  masa turun cuma sepersen doang sksksksk      ,1
 siapa yg ukai apt februari cung  share dong gais keluh kesahnya  terus persiapannya udah sbeerapa ,1
 help me   aku lg nugas tiba  laptopnya minta restarting dan otomatis restart  tp ini kenapa gini yaaa gk muncul bacaan restart  ada yg tau gk kenapa      ,0
dont deserve my mom  help,1
 i lost my dad this year and dunia ku masih gelap  baru masuk awal skripsi tapi skripsi ku udah bermasalah dengan dospem yang mempersulit  aku ga yakin bisa lulus  now i feel like i lost my self and i miss my dad  im tired of everything happend with my life lately  i  cont ,1
 kalo mau ngelihat kinerja pariwisata suatu negara itu dimana ya ,1
yang bener undang undang atau undang undang  ,1
 kalian sem   pada mulai bikin skripsi kah  udah sampe mana ,0
kalau burnout ngerjain tugas  kalian biasanya ngapain  ,0
 serem bgt politik kampus  cape  belajar buat ikut rangkain ehhh yhaa kalah sama kursi titipan en  anak dari orang  berpengaruh ,1
 tim ngumpulin tugas di google drive   menit menjelang deadline biar ga ada yg macem  sehingga menghindarkan terjadinya kasus yang bbrp kali dishare perihal tugas yg diapus atau dicontek      ,1
 halo kakak  aku mau nanya dong  kalo begitu tuh udah bener belum sih   ,0
ini skripsi gua kapan selesainya ya ada yang tau gak    ,0
 kuliah pspa bisa ngajuin beasiswa ga siii  ,1
 air sungai gang ga apaan yaa kak huhu   ,1
 batas terakhir mengisi keperlukan kampus merdeka kapan ya gais  makasii,0
 mi ni mal lima kata  ,1
 mohon jawabannya kakak kakak sekalian  tolong yang paham bantu jawab     ,2
 sender lagi kehilangan mood buat ngerjain skripsi karena habis ganti dosbing    ,0
 hai  mau tanya  kalo dari gdrive trus kita  move to  ke gdrive lain itu kesimpen di gdrive yang baru kah atau ga  soalnya setelah dipindah kok storagenya ga berkurang bertambah ya    makasiii,1
